stage_position,position_within_field_of_view,sine_amplitude,sine_period,problem
0,0,20,100,0
0,1,20,100,0
0,2,20,100,0
0,3,20,100,0
1,0,20,100,0
1,1,20,50,0
1,2,20,50,0
1,3,20,50,0
2,0,20,50,0
2,1,20,50,0
2,2,20,20,0
2,3,20,20,0
3,0,20,20,0
3,1,20,20,0
3,2,20,20,0
3,3,20,10,0
4,0,20,10,0
4,1,20,10,0
4,2,20,10,0
4,3,20,10,0
5,0,20,0,0
5,1,20,0,0
5,2,20,0,0
5,3,20,0,0
6,0,20,0,0
6,1,20,0,0
6,2,20,0,0
6,3,20,0,0
7,0,20,0,0
7,1,20,0,0
7,2,20,100,0
7,3,20,100,0
8,0,20,100,1
8,1,20,100,0
8,2,20,100,0
8,3,20,50,0
9,0,20,50,0
9,1,20,50,0
9,2,20,50,0
9,3,20,50,0
10,0,20,20,1
10,1,20,20,0
10,2,20,20,0
10,3,20,20,0
11,0,20,20,0
11,1,20,10,0
11,2,20,10,0
11,3,20,10,0
12,0,20,10,0
12,1,20,10,0
12,2,20,0,0
12,3,20,0,0
13,0,20,0,1
13,1,20,0,0
13,2,20,0,0
13,3,20,0,0
14,0,20,0,0
14,1,20,0,1
14,2,20,0,0
14,3,20,0,0
15,0,20,100,0
15,1,20,100,0
15,2,20,100,0
15,3,20,100,0
16,0,20,100,0
16,1,20,50,0
16,2,20,50,0
16,3,20,50,0
17,0,20,50,0
17,1,20,50,0
17,2,20,20,0
17,3,20,20,0
18,0,20,20,0
18,1,20,20,0
18,2,20,20,1
18,3,20,10,0
19,0,20,10,0
19,1,20,10,0
19,2,20,10,0
19,3,20,10,0
20,0,20,0,0
20,1,20,0,1
20,2,20,0,0
20,3,20,0,0
21,0,20,0,0
21,1,20,0,0
21,2,20,0,0
21,3,20,0,0
22,0,20,0,0
22,1,20,0,0
22,2,20,100,1
22,3,20,100,0
23,0,20,100,1
23,1,20,100,1
23,2,20,100,0
23,3,20,50,0
24,0,20,50,1
24,1,20,50,0
24,2,20,50,0
24,3,20,50,0
25,0,20,20,0
25,1,20,20,0
25,2,20,20,1
25,3,20,20,0
26,0,20,20,0
26,1,20,10,0
26,2,20,10,0
26,3,20,10,0
27,0,20,10,0
27,1,20,10,1
27,2,20,0,0
27,3,20,0,0
28,0,20,0,0
28,1,20,0,0
28,2,20,0,0
28,3,20,0,0
29,0,20,0,0
29,1,20,0,0
29,2,20,0,0
29,3,20,0,0
30,0,10,0,0
30,1,10,0,0
30,2,10,0,0
30,3,10,0,0
31,0,10,0,0
31,1,10,0,0
31,2,10,0,0
31,3,10,0,0
32,0,10,10,0
32,1,10,10,0
32,2,10,0,0
32,3,10,0,0
33,0,10,20,0
33,1,10,10,0
33,2,10,10,0
33,3,10,10,0
34,0,10,20,0
34,1,10,20,0
34,2,10,20,0
34,3,10,20,0
35,0,10,50,0
35,1,10,50,0
35,2,10,50,0
35,3,10,50,0
36,0,10,100,0
36,1,10,100,0
36,2,10,100,0
36,3,10,50,0
37,0,10,0,0
37,1,10,0,0
37,2,10,100,0
37,3,10,100,0
38,0,10,0,0
38,1,10,0,0
38,2,10,0,0
38,3,10,0,0
39,0,10,0,0
39,1,10,0,0
39,2,10,0,0
39,3,10,0,0
40,0,10,10,0
40,1,10,10,0
40,2,10,10,0
40,3,10,10,0
41,0,10,20,0
41,1,10,20,0
41,2,10,20,0
41,3,10,10,0
42,0,10,50,0
42,1,10,50,0
42,2,10,20,0
42,3,10,20,0
43,0,10,100,0
43,1,10,50,0
43,2,10,50,0
43,3,10,50,0
44,0,10,100,0
44,1,10,100,0
44,2,10,100,0
44,3,10,100,0
45,0,10,0,0
45,1,10,0,0
45,2,10,0,0
45,3,10,0,0
46,0,10,0,0
46,1,10,0,0
46,2,10,0,0
46,3,10,0,0
47,0,10,10,0
47,1,10,10,0
47,2,10,0,0
47,3,10,0,0
48,0,10,20,0
48,1,10,10,0
48,2,10,10,0
48,3,10,10,0
49,0,10,20,0
49,1,10,20,0
49,2,10,20,0
49,3,10,20,0
50,0,10,50,0
50,1,10,50,0
50,2,10,50,0
50,3,10,50,0
51,0,10,100,0
51,1,10,100,0
51,2,10,100,0
51,3,10,50,0
52,0,10,0,0
52,1,10,0,0
52,2,10,100,0
52,3,10,100,0
53,0,10,0,0
53,1,10,0,0
53,2,10,0,0
53,3,10,0,0
54,0,10,0,0
54,1,10,0,0
54,2,10,0,0
54,3,10,0,0
55,0,10,10,0
55,1,10,10,0
55,2,10,10,0
55,3,10,10,0
56,0,10,20,0
56,1,10,20,0
56,2,10,20,0
56,3,10,10,0
57,0,10,50,0
57,1,10,50,0
57,2,10,20,0
57,3,10,20,0
58,0,10,100,0
58,1,10,50,0
58,2,10,50,0
58,3,10,50,0
59,0,10,100,0
59,1,10,100,0
59,2,10,100,0
59,3,10,100,0
